roundId,multiplier,timestamp
537,2.14,2025-12-27 22:28:32.370761
538,5,2025-12-27 22:28:44.93201
539,1.78,2025-12-27 22:28:47.381285
540,4,2025-12-27 22:29:03.25864
541,12,2025-12-27 22:29:29.523123
542,4,2025-12-27 22:29:33.26191
543,1.47,2025-12-27 22:29:45.412112
544,3,2025-12-27 22:30:22.011535
545,9,2025-12-27 22:30:34.030902
546,1.74,2025-12-27 22:30:36.42441
547,4,2025-12-27 22:30:45.024569
548,4,2025-12-27 22:30:59.700994
549,2.36,2025-12-27 22:31:03.206093
550,54,2025-12-27 22:31:16.091153
551,5,2025-12-27 22:31:30.660334
552,15,2025-12-27 22:31:39.024117
553,4,2025-12-27 22:31:50.99433
554,4,2025-12-27 22:32:05.367837
555,4,2025-12-27 22:32:20.769954
556,2,2025-12-27 22:32:29.019178
557,4,2025-12-27 22:32:35.929205
558,13.044,2025-12-27 22:32:45.126497
559,41,2025-12-27 22:32:54.011368
560,4,2025-12-27 22:33:06.003539
561,1.9,2025-12-27 22:33:09.422587
562,1.9,2025-12-27 22:33:25.160917
563,12,2025-12-27 22:33:29.452765
564,15,2025-12-27 22:33:35.940341
565,287,2025-12-27 22:33:58.144401
566,1.42,2025-12-27 22:35:07.0992
567,1.1,2025-12-27 22:35:16.449274
568,1.35,2025-12-27 22:35:28.696305
569,17.11,2025-12-27 22:36:10.915006
570,1.27,2025-12-27 22:36:21.656908
571,1.12,2025-12-27 22:36:30.862003
572,1.55,2025-12-27 22:36:44.112143
573,1.99,2025-12-27 22:37:00.891647
574,2.16,2025-12-27 22:37:17.653336
575,39.99,2025-12-27 22:38:10.138283
576,1.89,2025-12-27 22:38:25.678043
577,1,2025-12-27 22:38:33.690623
578,1.34,2025-12-27 22:38:46.036998
579,1.06,2025-12-27 22:38:54.605499
580,3.23,2025-12-27 22:39:16.985982
581,5.61,2025-12-27 22:39:45.170333
582,1.15,2025-12-27 22:39:55.208207
583,1.45,2025-12-27 22:40:07.50678
584,1.37,2025-12-27 22:40:19.273495
585,1.12,2025-12-27 22:40:29.255374
586,1.57,2025-12-27 22:40:42.526561
587,2.12,2025-12-27 22:40:59.251081
588,7.11,2025-12-27 22:41:31.182778
589,1.48,2025-12-27 22:41:43.661698
590,12.28,2025-12-27 22:42:22.284697
591,7.68,2025-12-27 22:42:54.269866
592,1.05,2025-12-27 22:43:02.911308
593,4,2025-12-27 22:43:28.060199
594,1.63,2025-12-27 22:43:41.832209
